run_id,ts,elapsed_s,samples,event_id,kind,step,context_keys,span_id,parent_span_id,name,status,error,duration_s,action,ok,attempts,steps,task,last_action,reason,info,date,minute,hour,is_span_start,is_span_end,is_run_start,is_run_ok,is_run_fail,is_action_result,is_retry,duration_ms,data_json,attrs_json
effb4685-03a5-4db1-8a07-8d865aadf196,2025-08-09 16:42:40.583972+00:00,,,c683c59b-a2a9-4db4-b641-0a7a094a0419,action_result,2.0,,,,,,,,search,True,1.0,,,,,,2025-08-09,2025-08-09 16:42:00+00:00,2025-08-09 16:00:00+00:00,False,False,False,False,False,True,False,,"{""value"": 4, ""conf"": 0.61}",
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.191806+00:00,,,7ce0acec-34cc-4743-b5e1-056b0c8db274,span_start,,,b54f8081-a9a1-4822-853b-e7f2a7fe9e36,,tool:no_op,,,,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,True,False,False,False,False,False,False,,,"{""args"": {""x"": 10, ""run_id"": ""9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb""}}"
e70c2f04-639f-4414-aff0-5a82f5c2bc73,2025-08-09 18:27:00.090537+00:00,,,c4c706d8-a6f2-4143-9f8c-ae3faacceb7d,span_end,,,4245f782-f4e8-40b7-8d5f-929358ee9136,,tool:flaky_add,error,TypeError('run_examples.<locals>.<lambda>() takes 0 positional arguments but 2 were given'),1.1600001016631722e-05,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,False,True,False,False,False,False,False,0.012,,
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.292986+00:00,,,6b016189-4ad9-40d9-8309-9cf3819b5e40,span_end,,,3510e486-dffd-411a-88a6-44a79a793a87,,tool:no_op,ok,,9.499999578110874e-06,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,False,True,False,False,False,False,False,0.009,,
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.292986+00:00,,,2f544add-0d48-4df6-9429-54e4c9da7dbd,span_end,,,0ca014e2-a462-436a-9829-233192d3f97d,,tool:no_op,ok,,1.0200004908256233e-05,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,False,True,False,False,False,False,False,0.01,,
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.223315+00:00,,,fe54042f-3ba3-4783-bb19-2d422d54f276,span_start,,,d9ea43ee-21b4-42e2-8944-42e96582e212,,tool:no_op,,,,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,True,False,False,False,False,False,False,,,"{""args"": {""x"": 480, ""run_id"": ""9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb""}}"
e70c2f04-639f-4414-aff0-5a82f5c2bc73,2025-08-09 18:27:00.086139+00:00,,,72628030-7dd8-44ca-9e80-823737fa7568,span_end,,,989bcd3d-990a-4ad7-9180-fefbdd656177,,tool:flaky_add,error,TypeError('run_examples.<locals>.<lambda>() takes 0 positional arguments but 2 were given'),5.2100003813393414e-05,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,False,True,False,False,False,False,False,0.052,,
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.310991+00:00,,,1e77285f-095d-4198-b006-8984e96a4efb,span_start,,,714cfacf-4136-4849-810d-0e9cb78f6aa0,,tool:no_op,,,,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,True,False,False,False,False,False,False,,,"{""args"": {""x"": 1879, ""run_id"": ""9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb""}}"
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.216145+00:00,,,f164670b-6124-4013-8f18-e76ff35b3814,span_end,,,2cc94794-964d-4f11-96dd-b7ff813e8ef6,,tool:no_op,ok,,1.0899995686486363e-05,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,False,True,False,False,False,False,False,0.011,,
9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb,2025-08-09 18:27:00.295984+00:00,,,8536a342-b8ff-4ea4-b287-ba8cad5c694c,span_start,,,11a73ad9-e00d-4cb4-8c8d-fc9e6242dff3,,tool:no_op,,,,,,,,,,,,2025-08-09,2025-08-09 18:27:00+00:00,2025-08-09 18:00:00+00:00,True,False,False,False,False,False,False,,,"{""args"": {""x"": 1662, ""run_id"": ""9d6e3be7-2e71-4499-9d63-fa8f4a47d2bb""}}"
